seed,parameter_name,shape,adamw_initial_hash,sgd_initial_hash,exact_match,seed_initialization_hash
44,classifier.3.bias,"(2,)",a9bb3d51a34a7bfdeab58e4537feb2632fa01734267102d9628755b41417e520,a9bb3d51a34a7bfdeab58e4537feb2632fa01734267102d9628755b41417e520,True,
44,classifier.3.weight,"(2, 32)",31e9e252317b1cca68ff7491144ecf6955c2c9e0b6994a3125013cdfc5cc5cf2,31e9e252317b1cca68ff7491144ecf6955c2c9e0b6994a3125013cdfc5cc5cf2,True,
44,encoder.layers.0.bias,"(16,)",a4ec67f1bb067c8c449bb60719bec28e5111363e6f0b3d268bf3d35e8c16f0ed,a4ec67f1bb067c8c449bb60719bec28e5111363e6f0b3d268bf3d35e8c16f0ed,True,
44,encoder.layers.0.weight,"(16, 1, 3, 3)",b0f527a4f9e89a37c0355171fac67e50e41aa605bbf438998d43c16a02aa0c62,b0f527a4f9e89a37c0355171fac67e50e41aa605bbf438998d43c16a02aa0c62,True,
44,encoder.layers.1.bias,"(16,)",f6652bdfd7b1a0ec73c9ffab85cd683f77a2ec1ede19d5f5a7f06865a4b5fbf1,f6652bdfd7b1a0ec73c9ffab85cd683f77a2ec1ede19d5f5a7f06865a4b5fbf1,True,
44,encoder.layers.1.weight,"(16,)",161af222b963c10c540ed951b7e49e563c410aaede1f965ecbcddd3b6773f751,161af222b963c10c540ed951b7e49e563c410aaede1f965ecbcddd3b6773f751,True,
44,encoder.layers.4.bias,"(32,)",435b2c9c9ff903601bd242015d1edc3abb4e55a73032166ae7843c4e78cd22a9,435b2c9c9ff903601bd242015d1edc3abb4e55a73032166ae7843c4e78cd22a9,True,
44,encoder.layers.4.weight,"(32, 16, 3, 3)",4c8232d14fa6de8a5d716fa35dcdc438b55ff6408c5598733e5fd4621aaede89,4c8232d14fa6de8a5d716fa35dcdc438b55ff6408c5598733e5fd4621aaede89,True,
44,encoder.layers.5.bias,"(32,)",cca73dcb3d61bb20e96e96017a1ca6e6f0e5c3320e080eff6b43b768fc039e6d,cca73dcb3d61bb20e96e96017a1ca6e6f0e5c3320e080eff6b43b768fc039e6d,True,
44,encoder.layers.5.weight,"(32,)",3d95cf105e53956d58061f6228f7fd4fecafdb9c07eedee6e43b4b57f1f591fe,3d95cf105e53956d58061f6228f7fd4fecafdb9c07eedee6e43b4b57f1f591fe,True,
44,encoder.layers.8.bias,"(64,)",f335ef126a02109b84c88dff4d6c1c938aa942e94e174d5126053bd1bfd49154,f335ef126a02109b84c88dff4d6c1c938aa942e94e174d5126053bd1bfd49154,True,
44,encoder.layers.8.weight,"(64, 32, 3, 3)",be6275e22c9e7beaf91e8e2e325c1f0ff41c41a5a70d887fe82d7f9a4df125a7,be6275e22c9e7beaf91e8e2e325c1f0ff41c41a5a70d887fe82d7f9a4df125a7,True,
44,encoder.layers.9.bias,"(64,)",780b4a90d7fa90d620f1355243a10704927de7f0e4b6237cd40a6b3c5015b462,780b4a90d7fa90d620f1355243a10704927de7f0e4b6237cd40a6b3c5015b462,True,
44,encoder.layers.9.weight,"(64,)",28218c86aaf057b554f13b26082640f8599184e0ef8c7dfff36d169cd8a3a348,28218c86aaf057b554f13b26082640f8599184e0ef8c7dfff36d169cd8a3a348,True,
44,lstm.bias_hh_l0,"(256,)",8daa5291cc4c227382ed4f498db7f1878d7df7f63200073e549daf7fef3481ea,8daa5291cc4c227382ed4f498db7f1878d7df7f63200073e549daf7fef3481ea,True,
44,lstm.bias_ih_l0,"(256,)",9a8ca60eee40214cd73f7410b2d429b91605e7aa451b818141d6a8e56917b048,9a8ca60eee40214cd73f7410b2d429b91605e7aa451b818141d6a8e56917b048,True,
44,lstm.weight_hh_l0,"(256, 64)",59272cff091fee1028170abdcc71f50d8a4188b4cb278431d228f1e2ae783a26,59272cff091fee1028170abdcc71f50d8a4188b4cb278431d228f1e2ae783a26,True,
44,lstm.weight_ih_l0,"(256, 64)",a15c7ac13032578f12f2ab5e0327bbdb56e71480c2adf1ba4343e798c6cec2d8,a15c7ac13032578f12f2ab5e0327bbdb56e71480c2adf1ba4343e798c6cec2d8,True,
44,__PAIR_SUMMARY__,,,,True,9b4e955e2eaa0e8065c6ea275c9ccec0aad4d76575df917d4352c2e3024167da
cross_seed,__DISTINCT_SEEDS__,,,,True,"{""42"": ""7dcb0608294d8b5362f12eb4459cb4f0eacaa31305a09d0983ba697e23c2925c"", ""43"": ""005d43c8630a681de44e1dd58f2fe7211fdcd3e55ac29399877e4438a512ee5c"", ""44"": ""9b4e955e2eaa0e8065c6ea275c9ccec0aad4d76575df917d4352c2e3024167da""}"
